basin,NH_NSE,GNN_NSE,improvement
48004,0.9369755990670018,0.9409984279769988,0.004022828909997056
76011,0.6412168209984074,0.6452008170648988,0.003983996066491469
84017,0.9122569307112148,0.9160418157384852,0.0037848850272703682
33035,0.8828979337328671,0.8866554708622753,0.003757537129408184
39143,0.937940953908468,0.9415146529194046,0.0035736990109366262
14001,0.9276530147186222,0.9311825458161463,0.0035295310975241856
33014,0.8685476117966076,0.8720751328776682,0.0035275210810606916
38001,0.9027502636747738,0.906277370273625,0.0035271065988511374
79002,0.8945766815458372,0.8980586421172835,0.00348196057144623
34005,0.8799917818586998,0.8834711842663134,0.0034794024076136854
67008,0.9378413169606624,0.9412659195220446,0.0034246025613822173
13004,0.7437711637123654,0.7471698199601055,0.0033986562477400506
84030,0.8872038401008572,0.8905434315066348,0.0033395914057776643
33032,0.8466413584404515,0.8499761193945836,0.003334760954132099
39144,0.7149562572981809,0.718198554334493,0.0032422970363120696
41004,0.7805310016535545,0.7836609524782387,0.0031299508246842578
45009,0.9181751404379784,0.9212039272712038,0.003028786833225383
101005,0.6403470909572013,0.6433314757896387,0.002984384832437348
73015,0.8813811308132562,0.8843643172098665,0.0029831863966103267
77002,0.8548546968231758,0.8578344261688208,0.0029797293456449436
54025,0.9144887553578688,0.9174518044957086,0.002963049137839846
22001,0.9072390218403706,0.910189799983848,0.0029507781434773284
50006,0.9122327197423524,0.915174298927399,0.002941579185046561
63004,0.7982882382938687,0.8012092712816049,0.0029210329877361607
15010,0.7877355555998291,0.7906169484827386,0.0028813928829094504
75004,0.9128737058741632,0.9157234678434112,0.0028497619692480214
28008,0.8977496606577271,0.9005921372497632,0.0028424765920360695
41022,0.8122740308248885,0.8150551198400362,0.0027810890151477308
89005,0.7217516146133889,0.7244644074355764,0.002712792822187504
28067,0.9143771178390786,0.9170568591095244,0.00267974127044579
19001,0.8922060155003734,0.8948473983424621,0.002641382842088702
54019,0.790787138581208,0.7933949667234956,0.0026078281422876604
80002,0.922612220023072,0.92517469472821,0.0025624747051380403
23011,0.8325107824932563,0.8350563961931977,0.0025456136999414403
15025,0.7699550495825538,0.7723791186547239,0.0024240690721700764
69027,0.8965505965165976,0.8989437531356845,0.0023931566190869002
37008,0.8342749969042226,0.8366479459660747,0.0023729490618521476
93001,0.8093653332679748,0.8116512320309318,0.0022858987629570393
85001,0.9099331512099408,0.9121934520113248,0.002260300801384063
21022,0.8705877064049745,0.8727483134826287,0.0021606070776541975
55013,0.9192628675822158,0.921383728410752,0.002120860828536242
73005,0.945018971252575,0.9471281210412514,0.00210914978867649
78003,0.936062400584596,0.9381651335136416,0.0021027329290456143
16001,0.875818016945814,0.8779187063366832,0.0021006893908692703
23016,0.8817597403700226,0.8838509817000185,0.002091241329995941
32006,0.8774129903714557,0.8794577166853734,0.002044726313917722
15024,0.8270167663419583,0.8290103122698655,0.0019935459279072365
33021,0.7817664628291789,0.7837239676127743,0.001957504783595354
72015,0.9287028278592866,0.930629623201474,0.0019267953421874262
74006,0.8582428237290385,0.860036952135095,0.0017941284060565277
27035,0.8885984512451266,0.8903709453453936,0.0017724941002670302
67018,0.9017950426083564,0.9034601589509024,0.001665116342545958
28117,0.9215100754226504,0.9230802984017222,0.0015702229790718336
6008,0.8344594904879395,0.8360069086314414,0.0015474181435018997
83004,0.8566404870563936,0.8581431802659816,0.0015026932095879575
33029,0.9246715068770048,0.926158343060939,0.0014868361839341926
80001,0.8985024090042172,0.8999521715079813,0.0014497625037641626
33006,0.8109385986520623,0.8123612324545016,0.0014226338024393437
19006,0.9028674232363708,0.9042314357977088,0.0013640125613380016
67006,0.9124158391096736,0.9135981340549492,0.0011822949452755527
58009,0.9068212531976222,0.9080026817360916,0.0011814285384693646
24005,0.8833941892204189,0.8845660167691608,0.0011718275487418994
47005,0.8895869312334909,0.8906863134842484,0.0010993822507575635
47018,0.9002801206068337,0.9013503813246132,0.001070260717779492
20003,0.8290644830241187,0.8300644333643437,0.000999950340224931
45001,0.9365687699155564,0.9375244397839336,0.0009556698683772513
23004,0.8535095280614589,0.8544007278587351,0.0008911997972762542
50001,0.9253697740830776,0.926255196298588,0.0008854222155103564
73010,0.958525443317086,0.9594021419230282,0.0008766986059421944
38004,0.8851201953804271,0.8858569434577788,0.0007367480773516899
73011,0.9341687556247226,0.9348778741128396,0.0007091184881170554
60005,0.9202615400473602,0.9208918226140488,0.0006302825666886225
21008,0.8409694650982641,0.8415559654954922,0.0005865003972280736
84012,0.8623924911296328,0.8626577584671267,0.00026526733749387965
43008,0.9719161980405032,0.972091925317902,0.00017572727739878502
79003,0.825512805516649,0.825685992670357,0.00017318715370806537
